gene_name	Ensemble_id
SUDS3	ENSG00000111707
GOLT1B	ENSG00000111711
LDHB	ENSG00000111716
PRKAB1	ENSG00000111725
CMAS	ENSG00000111726
ST8SIA1	ENSG00000111728
C2CD5	ENSG00000111731
PHC1	ENSG00000111752
COX6A1	ENSG00000111775
RFX4	ENSG00000111783
RIC8B	ENSG00000111785
SRSF9	ENSG00000111786
FGFR1OP2	ENSG00000111790
BTN3A3	ENSG00000111801
TDP2	ENSG00000111802
RWDD1	ENSG00000111832
TMEM14C	ENSG00000111843
PAK1IP1	ENSG00000111845
GCNT2	ENSG00000111846
SMIM8	ENSG00000111850
CEP85L	ENSG00000111860
ASF1A	ENSG00000111875
RNGTT	ENSG00000111880
SERINC1	ENSG00000111897
HDDC2	ENSG00000111906
HINT3	ENSG00000111911
SASH1	ENSG00000111961
UST	ENSG00000111962
FBXO5	ENSG00000112029
MTRF1L	ENSG00000112031
PPARD	ENSG00000112033
KCTD20	ENSG00000112078
SRSF3	ENSG00000112081
SOD2	ENSG00000112096
MRPL18	ENSG00000112110
MCM3	ENSG00000112118
RNF8	ENSG00000112130
PHACTR1	ENSG00000112137
ICK	ENSG00000112144
FBXO9	ENSG00000112146
SAYSD1	ENSG00000112167
CAP2	ENSG00000112186
ZNF451	ENSG00000112200
BAG2	ENSG00000112208
FBXL4	ENSG00000112234
CCNC	ENSG00000112237
PTP4A1	ENSG00000112245
ASCC3	ENSG00000112249
COL9A1	ENSG00000112280
MED23	ENSG00000112282
WASF1	ENSG00000112290
GPLD1	ENSG00000112293
ALDH5A1	ENSG00000112294
ACOT13	ENSG00000112304
SMAP1	ENSG00000112305
RPS12	ENSG00000112306
C6orf62	ENSG00000112308
GMNN	ENSG00000112312
SNX3	ENSG00000112335
HBS1L	ENSG00000112339
PEX7	ENSG00000112357
FIG4	ENSG00000112367
KIAA1244	ENSG00000112379
SLC39A7	ENSG00000112473
PHF1	ENSG00000112511
CUTA	ENSG00000112514
QKI	ENSG00000112531
CCND3	ENSG00000112576
BYSL	ENSG00000112578
FAM120B	ENSG00000112584
TBP	ENSG00000112592
PPP2R5D	ENSG00000112640
MRPL2	ENSG00000112651
PTK7	ENSG00000112655
CUL9	ENSG00000112659
DNPH1	ENSG00000112667
EXOC2	ENSG00000112685
COX7A2	ENSG00000112695
TMEM30A	ENSG00000112697
GMDS	ENSG00000112699
SENP6	ENSG00000112701
PRPF4B	ENSG00000112739
SLC29A1	ENSG00000112759
BTN2A1	ENSG00000112763
PCDHB2	ENSG00000112852
HARS2	ENSG00000112855
SEMA5A	ENSG00000112902
HMGCS1	ENSG00000112972
DAP	ENSG00000112977
BRD8	ENSG00000112983
NNT	ENSG00000112992
MRPS30	ENSG00000112996
HSPA9	ENSG00000113013
MRPS27	ENSG00000113048
PFDN1	ENSG00000113068
APBB3	ENSG00000113108
SPARC	ENSG00000113140
IK	ENSG00000113141
HMGCR	ENSG00000113161
COL4A3BP	ENSG00000113163
FAF2	ENSG00000113194
PCDHB3	ENSG00000113205
PCDHB5	ENSG00000113209
PDE8B	ENSG00000113231
CLK4	ENSG00000113240
RNF130	ENSG00000113269
THG1L	ENSG00000113272
ARSB	ENSG00000113273
CLINT1	ENSG00000113282
TTC1	ENSG00000113312
MSH3	ENSG00000113318
GABRG2	ENSG00000113327
CCNG1	ENSG00000113328
DROSHA	ENSG00000113360
ARRDC3	ENSG00000113369
GOLPH3	ENSG00000113384
SUB1	ENSG00000113387
FAM172A	ENSG00000113391
TARS	ENSG00000113407
LNPEP	ENSG00000113441
PDE4D	ENSG00000113448
RAD1	ENSG00000113456
BRIX1	ENSG00000113460
RAD50	ENSG00000113522
GNPDA1	ENSG00000113552
SKP1	ENSG00000113558
PPP2CA	ENSG00000113575
NR3C1	ENSG00000113580
C5orf15	ENSG00000113583
PPWD1	ENSG00000113593
TRIM23	ENSG00000113595
TRAPPC13	ENSG00000113597
TXNDC15	ENSG00000113621
RARS	ENSG00000113643
H2AFY	ENSG00000113648
TCERG1	ENSG00000113649
DPYSL3	ENSG00000113657
SMAD5	ENSG00000113658
CSNK1A1	ENSG00000113712
HMGXB3	ENSG00000113716
ERGIC1	ENSG00000113719
ATP6V0E1	ENSG00000113732
BNIP1	ENSG00000113734
CPEB4	ENSG00000113742
DBN1	ENSG00000113758
ZNF346	ENSG00000113761
SELK	ENSG00000113811
ACTR8	ENSG00000113812
TBCCD1	ENSG00000113838
TIMMDC1	ENSG00000113845
CRBN	ENSG00000113851
BCL6	ENSG00000113916
AMOTL2	ENSG00000114019
NIT2	ENSG00000114021
FAM162A	ENSG00000114023
OGG1	ENSG00000114026
KPNA1	ENSG00000114030
PCCB	ENSG00000114054
UBE3A	ENSG00000114062
ARMC8	ENSG00000114098
CEP70	ENSG00000114107
RBP1	ENSG00000114115
SLC25A36	ENSG00000114120
RNF7	ENSG00000114125
TFDP2	ENSG00000114126
KAT2B	ENSG00000114166
BCHE	ENSG00000114200
PDCD10	ENSG00000114209
PFKFB4	ENSG00000114268
FGF12	ENSG00000114279
PRKAR2A	ENSG00000114302
USP4	ENSG00000114316
ACAP2	ENSG00000114331
GNAI2	ENSG00000114353
TFG	ENSG00000114354
TUSC2	ENSG00000114383
NPRL2	ENSG00000114388
RPL24	ENSG00000114391
CYB561D2	ENSG00000114395
C3orf14	ENSG00000114405
FXR1	ENSG00000114416
CBLB	ENSG00000114423
BBX	ENSG00000114439
IFT57	ENSG00000114446
GBE1	ENSG00000114480
UMPS	ENSG00000114491
NCBP2	ENSG00000114503
SNX4	ENSG00000114520
SLC41A3	ENSG00000114544
PLXNA1	ENSG00000114554
ATP6V1A	ENSG00000114573
PODXL2	ENSG00000114631
CSPG5	ENSG00000114646
KLHL18	ENSG00000114648
SCAP	ENSG00000114650
MRPL3	ENSG00000114686
PLSCR4	ENSG00000114698
WDR48	ENSG00000114742
COMMD2	ENSG00000114744
GORASP1	ENSG00000114745
RRP9	ENSG00000114767
ABCC5	ENSG00000114770
ABHD14B	ENSG00000114779
EIF1B	ENSG00000114784
ARHGEF26	ENSG00000114790
KLHL24	ENSG00000114796
SSR3	ENSG00000114850
ZBTB47	ENSG00000114853
NKTR	ENSG00000114857
FOXP1	ENSG00000114861
EIF4G1	ENSG00000114867
SPCS1	ENSG00000114902
NEK4	ENSG00000114904
INO80D	ENSG00000114933
EEF1B2	ENSG00000114942
DGUOK	ENSG00000114956
MOB1A	ENSG00000114978
KANSL3	ENSG00000114982
LMAN2L	ENSG00000114988
RTKN	ENSG00000114993
PIKFYVE	ENSG00000115020
KCNIP3	ENSG00000115041
FAHD2A	ENSG00000115042
NCL	ENSG00000115053
ACTR1B	ENSG00000115073
SLC35F5	ENSG00000115084
ACTR3	ENSG00000115091
EPB41L5	ENSG00000115109
SF3B14	ENSG00000115128
TP53I3	ENSG00000115129
STAM2	ENSG00000115145
TANC1	ENSG00000115183
MPV17	ENSG00000115204
GTF3C2	ENSG00000115207
EIF2B4	ENSG00000115211
NRBP1	ENSG00000115216
FNDC4	ENSG00000115226
PSMD14	ENSG00000115233
SNX17	ENSG00000115234
ASB3	ENSG00000115239
PPM1G	ENSG00000115241
REEP6	ENSG00000115255
APC2	ENSG00000115266
RPS15	ENSG00000115268
TTC31	ENSG00000115282
NDUFS7	ENSG00000115286
PCGF1	ENSG00000115289
CLIP4	ENSG00000115295
SPTBN1	ENSG00000115306
AUP1	ENSG00000115307
RTN4	ENSG00000115310
HTRA2	ENSG00000115317
LOXL3	ENSG00000115318
POLE4	ENSG00000115350
TACR1	ENSG00000115353
CCDC88A	ENSG00000115355
MRPL19	ENSG00000115364
LANCL1	ENSG00000115365
WDR75	ENSG00000115368
EFEMP1	ENSG00000115380
FANCL	ENSG00000115392
STAT1	ENSG00000115415
PECR	ENSG00000115425
UNC50	ENSG00000115446
ELMOD3	ENSG00000115459
USP34	ENSG00000115464
CCT4	ENSG00000115484
EHBP1	ENSG00000115504
TXNDC9	ENSG00000115514
COQ10B	ENSG00000115520
SF3B1	ENSG00000115524
ST3GAL5	ENSG00000115525
CHST10	ENSG00000115526
PDCL3	ENSG00000115539
MOB4	ENSG00000115540
HSPE1	ENSG00000115541
KDM3A	ENSG00000115548
CHMP3	ENSG00000115561
ZNF142	ENSG00000115568
CNPPD1	ENSG00000115649
UXS1	ENSG00000115652
ABCB6	ENSG00000115657
HDLBP	ENSG00000115677
PPP1R7	ENSG00000115685
STK25	ENSG00000115694
ID2	ENSG00000115738
TAF1B	ENSG00000115750
HPCAL1	ENSG00000115756
ODC1	ENSG00000115758
BIRC6	ENSG00000115760
NOL10	ENSG00000115761
PLEKHB2	ENSG00000115762
GORASP2	ENSG00000115806
CEBPZ	ENSG00000115816
RAB3GAP1	ENSG00000115839
SLC25A12	ENSG00000115840
DARS	ENSG00000115866
SRSF7	ENSG00000115875
SLC1A4	ENSG00000115902
ORC2	ENSG00000115942
COX7A2L	ENSG00000115944
PNO1	ENSG00000115946
ORC4	ENSG00000115947
RND3	ENSG00000115963
ATF2	ENSG00000115966
C2orf42	ENSG00000115998
TIA1	ENSG00000116001
PCYOX1	ENSG00000116005
EPAS1	ENSG00000116016
SUMO1	ENSG00000116030
VAX2	ENSG00000116035
NFE2L2	ENSG00000116044
MSH6	ENSG00000116062
SPR	ENSG00000116096
FARSB	ENSG00000116120
BCL9	ENSG00000116128
DHCR24	ENSG00000116133
TNR	ENSG00000116147
CACYBP	ENSG00000116161
SCP2	ENSG00000116171
TMEM59	ENSG00000116209
WRAP73	ENSG00000116213
MRPL37	ENSG00000116221
RPL22	ENSG00000116251
QSOX1	ENSG00000116260
STXBP3	ENSG00000116266
ERRFI1	ENSG00000116285
PARK7	ENSG00000116288
AMPD2	ENSG00000116337
SRSF4	ENSG00000116350
MECR	ENSG00000116353
EDEM3	ENSG00000116406
WDR77	ENSG00000116455
ATP5F1	ENSG00000116459
CAPZA1	ENSG00000116489
S100PBP	ENSG00000116497
SCAMP3	ENSG00000116521
ASH1L	ENSG00000116539
SFPQ	ENSG00000116560
RHOU	ENSG00000116574
GON4L	ENSG00000116580
ARHGEF2	ENSG00000116584
LAMTOR2	ENSG00000116586
SRM	ENSG00000116649
FBXO6	ENSG00000116663
C1orf21	ENSG00000116667
MAD2L2	ENSG00000116670
IVNS1ABP	ENSG00000116679
MFN2	ENSG00000116688
MIIP	ENSG00000116691
SMG7	ENSG00000116698
WLS	ENSG00000116729
RGS2	ENSG00000116741
TROVE2	ENSG00000116747
UCHL5	ENSG00000116750
BCAS2	ENSG00000116752
SRSF11	ENSG00000116754
ZBTB17	ENSG00000116809
TMEM9	ENSG00000116857
ADPRHL2	ENSG00000116863
MRPS15	ENSG00000116898
GNPAT	ENSG00000116906
TSNAX	ENSG00000116918
C1orf109	ENSG00000116922
TBCE	ENSG00000116957
MTR	ENSG00000116984
MYCL1	ENSG00000116990
AKT3	ENSG00000117020
ACADM	ENSG00000117054
SDHB	ENSG00000117118
RPF1	ENSG00000117133
KDM5B	ENSG00000117139
UAP1	ENSG00000117143
KLHL12	ENSG00000117153
IGSF21	ENSG00000117154
RBBP5	ENSG00000117222
GPR89A	ENSG00000117262
RAB7L1	ENSG00000117280
HMGCL	ENSG00000117305
GALE	ENSG00000117308
ID3	ENSG00000117318
CD46	ENSG00000117335
PRPF3	ENSG00000117360
APH1A	ENSG00000117362
EBNA1BP2	ENSG00000117395
IPO13	ENSG00000117408
ATP6V0B	ENSG00000117410
ERI3	ENSG00000117419
AKR1A1	ENSG00000117448
PRDX1	ENSG00000117450
BLZF1	ENSG00000117475
SLC19A2	ENSG00000117479
FAAH	ENSG00000117480
DR1	ENSG00000117505
CNN3	ENSG00000117519
PRRC2C	ENSG00000117523
F3	ENSG00000117525
ABCD3	ENSG00000117528
VAMP4	ENSG00000117533
DPH5	ENSG00000117543
PTBP2	ENSG00000117569
PRDX6	ENSG00000117592
DARS2	ENSG00000117593
LPPR4	ENSG00000117600
SYF2	ENSG00000117614
C1orf63	ENSG00000117616
RCOR3	ENSG00000117625
STMN1	ENSG00000117632
MTFR1L	ENSG00000117640
DHDDS	ENSG00000117682
NENF	ENSG00000117691
NSL1	ENSG00000117697
PROX1	ENSG00000117707
RPA2	ENSG00000117748
STX12	ENSG00000117758
TXNDC12	ENSG00000117862
ESYT2	ENSG00000117868
MESDC2	ENSG00000117899
RCN2	ENSG00000117906
CTSD	ENSG00000117984
STAG1	ENSG00000118007
MLL	ENSG00000118058
IFT46	ENSG00000118096
KPTN	ENSG00000118162
RPS25	ENSG00000118181
DDX59	ENSG00000118197
CAMSAP2	ENSG00000118200
ATF6	ENSG00000118217
FASTKD2	ENSG00000118246
CREB1	ENSG00000118260
KLF7	ENSG00000118263
SPCS2	ENSG00000118363
ELOVL4	ENSG00000118402
CASP8AP2	ENSG00000118412
HMGN3	ENSG00000118418
ANKRD13C	ENSG00000118454
PHF3	ENSG00000118482
FBXO30	ENSG00000118496
AKAP7	ENSG00000118507
SGK1	ENSG00000118515
RNF146	ENSG00000118518
FBXL5	ENSG00000118564
MED28	ENSG00000118579
TMEM5	ENSG00000118600
ZNF430	ENSG00000118620
MYL12B	ENSG00000118680
FOXO3	ENSG00000118689
RPN2	ENSG00000118705
CCNI	ENSG00000118816
MFSD1	ENSG00000118855
RAB3GAP2	ENSG00000118873
FAM86A	ENSG00000118894
KLF12	ENSG00000118922
UCHL3	ENSG00000118939
PCDH17	ENSG00000118946
HS1BP3	ENSG00000118960
C2orf43	ENSG00000118961
CCND2	ENSG00000118971
CYP20A1	ENSG00000119004
NDUFB3	ENSG00000119013
GTF3C3	ENSG00000119041
UBE2B	ENSG00000119048
ITGB1BP1	ENSG00000119185
CPSF3	ENSG00000119203
PIGZ	ENSG00000119227
SENP5	ENSG00000119231
C1orf198	ENSG00000119280
TRIM67	ENSG00000119283
FKBP15	ENSG00000119321
CTNNAL1	ENSG00000119326
FAM206A	ENSG00000119328
WDR34	ENSG00000119333
SET	ENSG00000119335
PPP2R4	ENSG00000119383
GLE1	ENSG00000119392
RAB14	ENSG00000119396
TRIM32	ENSG00000119401
NEK6	ENSG00000119408
PPP6C	ENSG00000119414
NDUFA8	ENSG00000119421
RBM18	ENSG00000119446
HSDL2	ENSG00000119471
MAPKAP1	ENSG00000119487
INVS	ENSG00000119509
ALG2	ENSG00000119523
KDSR	ENSG00000119537
VPS4B	ENSG00000119541
C19orf25	ENSG00000119559
YLPM1	ENSG00000119596
IFI27L2	ENSG00000119632
NEK9	ENSG00000119638
ACYP1	ENSG00000119640
IFT43	ENSG00000119650
NPC2	ENSG00000119655
ACOT2	ENSG00000119673
KIAA0317	ENSG00000119682
TTLL5	ENSG00000119685
ABCD4	ENSG00000119688
DLST	ENSG00000119689
SLIRP	ENSG00000119705
RBM25	ENSG00000119707
ALDH6A1	ENSG00000119711
EIF2B2	ENSG00000119718
NRDE2	ENSG00000119720
COQ6	ENSG00000119723
ZNF410	ENSG00000119725
GPR75	ENSG00000119737
SUPT7L	ENSG00000119760
TMEM214	ENSG00000119777
ATL2	ENSG00000119787
YPEL5	ENSG00000119801
FAM98A	ENSG00000119812
YIPF4	ENSG00000119820
AFTPH	ENSG00000119844
CNRIP1	ENSG00000119865
CRIPT	ENSG00000119878
FAM178A	ENSG00000119906
IFIT3	ENSG00000119917
IFIT2	ENSG00000119922
CUTC	ENSG00000119929
MXI1	ENSG00000119950
SMNDC1	ENSG00000119953
C10orf88	ENSG00000119965
PRLHR	ENSG00000119973
TCTN3	ENSG00000119977
FAM45A	ENSG00000119979
AVPI1	ENSG00000119986
WDR11	ENSG00000120008
C10orf76	ENSG00000120029
KCNIP2	ENSG00000120049
GOT1	ENSG00000120053
KANSL1	ENSG00000120071
DUSP1	ENSG00000120129
PANK3	ENSG00000120137
RCL1	ENSG00000120158
CAAP1	ENSG00000120159
MOB3B	ENSG00000120162
GRIA2	ENSG00000120251
NUP43	ENSG00000120253
PCMT1	ENSG00000120265
CYSTM1	ENSG00000120306
WDR55	ENSG00000120314
PCDHB8	ENSG00000120322
PCDHB10	ENSG00000120324
PCDHB12	ENSG00000120328
MRPS14	ENSG00000120333
GORAB	ENSG00000120370
ACAT2	ENSG00000120437
TCP1	ENSG00000120438
SNX19	ENSG00000120451
PDZD11	ENSG00000120509
NUDCD1	ENSG00000120526
ENY2	ENSG00000120533
EPC1	ENSG00000120616
TAF12	ENSG00000120656
DNAJC15	ENSG00000120675
PROSER1	ENSG00000120685
UFM1	ENSG00000120686
WBP4	ENSG00000120688
SMAD9	ENSG00000120693
HSPH1	ENSG00000120694
KBTBD7	ENSG00000120696
ALG5	ENSG00000120697
EXOSC8	ENSG00000120699
ETF1	ENSG00000120705
FAM53C	ENSG00000120709
SIL1	ENSG00000120725
PAIP2	ENSG00000120727
KDM3B	ENSG00000120733
EGR1	ENSG00000120738
SERP1	ENSG00000120742
NR2C1	ENSG00000120798
TMPO	ENSG00000120802
ARL1	ENSG00000120805
MTERFD3	ENSG00000120832
NFYB	ENSG00000120837
CCDC53	ENSG00000120860
CLU	ENSG00000120885
TNFRSF10B	ENSG00000120889
SORBS3	ENSG00000120896
ADRA1A	ENSG00000120907
PPP3CC	ENSG00000120910
PDLIM2	ENSG00000120913
RNF170	ENSG00000120925
UBIAD1	ENSG00000120942
TARDBP	ENSG00000120948
ZNF706	ENSG00000120963
LYPLA1	ENSG00000120992
CRISPLD1	ENSG00000121005
COPS5	ENSG00000121022
AKAP1	ENSG00000121057
COIL	ENSG00000121058
TRIM25	ENSG00000121060
SCPEP1	ENSG00000121064
SPOP	ENSG00000121067
SLC35B1	ENSG00000121073
KIAA0922	ENSG00000121210
PSPC1	ENSG00000121390
ZSCAN18	ENSG00000121413
ZNF211	ENSG00000121417
RNF2	ENSG00000121481
TRMT1L	ENSG00000121486
SEC22A	ENSG00000121542
B4GALT4	ENSG00000121578
NAA50	ENSG00000121579
MAPK8IP1	ENSG00000121653
CRY2	ENSG00000121671
PEX16	ENSG00000121680
CAT	ENSG00000121691
PILRB	ENSG00000121716
ZMYM2	ENSG00000121741
TBC1D15	ENSG00000121749
BAI2	ENSG00000121753
ZCCHC17	ENSG00000121766
KHDRBS1	ENSG00000121774
TMEM39B	ENSG00000121775
POLR3GL	ENSG00000121851
SLITRK3	ENSG00000121871
PDS5A	ENSG00000121892
LIAS	ENSG00000121897
LRIF1	ENSG00000121931
CLCC1	ENSG00000121940
GPSM2	ENSG00000121957
GTDC1	ENSG00000121964
ACVR2A	ENSG00000121989
POLK	ENSG00000122008
RPL21	ENSG00000122026
MTIF3	ENSG00000122033
GTF3A	ENSG00000122034
UBL3	ENSG00000122042
FYTTD1	ENSG00000122068
MTERFD2	ENSG00000122085
MRPS2	ENSG00000122140
KIAA1191	ENSG00000122203
COPA	ENSG00000122218
RBBP6	ENSG00000122257
ZC3H7A	ENSG00000122299
FAM35A	ENSG00000122376
FAM213A	ENSG00000122378
NAA60	ENSG00000122390
RPL5	ENSG00000122406
ODF2L	ENSG00000122417
RWDD3	ENSG00000122481
ZNF644	ENSG00000122482
RPAP2	ENSG00000122484
BBS9	ENSG00000122507
PMS2	ENSG00000122512
SEPT7	ENSG00000122545
EEPD1	ENSG00000122547
KLHL7	ENSG00000122550
HERPUD2	ENSG00000122557
CBX3	ENSG00000122565
HNRNPA2B1	ENSG00000122566
NXPH1	ENSG00000122584
NT5C3	ENSG00000122643
ARL4A	ENSG00000122644
CCZ1	ENSG00000122674
POLM	ENSG00000122678
FTSJ2	ENSG00000122687
SMU1	ENSG00000122692
GLIPR2	ENSG00000122694
SLC25A51	ENSG00000122696
CLTA	ENSG00000122705
ACO1	ENSG00000122729
CNTFR	ENSG00000122756
TRIM24	ENSG00000122779
C7orf49	ENSG00000122783
CALD1	ENSG00000122786
NUDT10	ENSG00000122824
CHST3	ENSG00000122863
CISD1	ENSG00000122873
EGR2	ENSG00000122877
ECD	ENSG00000122882
P4HA1	ENSG00000122884
ZWINT	ENSG00000122952
VPS26A	ENSG00000122958
RBM19	ENSG00000122965
IFT81	ENSG00000122970
DDX54	ENSG00000123064
MED13L	ENSG00000123066
RNF11	ENSG00000123091
SSPN	ENSG00000123096
CCDC91	ENSG00000123106
ACOT9	ENSG00000123130
PRDX4	ENSG00000123131
DDX39A	ENSG00000123136
PKN1	ENSG00000123143
C19orf43	ENSG00000123144
WDR83	ENSG00000123154
GIPC1	ENSG00000123159
SPRYD7	ENSG00000123178
EBPL	ENSG00000123179
ZC3H13	ENSG00000123200
TSFM	ENSG00000123297
PFDN5	ENSG00000123349
SPATS2	ENSG00000123352
ORMDL2	ENSG00000123353
LRP1	ENSG00000123384
C12orf44	ENSG00000123395
SMUG1	ENSG00000123415
TUBA1B	ENSG00000123416
KBTBD4	ENSG00000123444
AMD1	ENSG00000123505
NDUFAF4	ENSG00000123545
PLP1	ENSG00000123560
MORF4L2	ENSG00000123562
RAB9B	ENSG00000123570
RAB9A	ENSG00000123595
BAZ2B	ENSG00000123636
SLC36A1	ENSG00000123643
RAP2C	ENSG00000123728
EXOSC9	ENSG00000123737
PLA2G12A	ENSG00000123739
ADCK4	ENSG00000123815
MXD4	ENSG00000123933
PMS2P5	ENSG00000123965
CKS2	ENSG00000123975
ACSL3	ENSG00000123983
CHPF	ENSG00000123989
OBSL1	ENSG00000124006
SLC12A4	ENSG00000124067
SNX21	ENSG00000124104
SLPI	ENSG00000124107
NCOA3	ENSG00000124151
PIGT	ENSG00000124155
NCOA5	ENSG00000124160
VAPB	ENSG00000124164
ATP5E	ENSG00000124172
CHD6	ENSG00000124177
PLCG1	ENSG00000124181
SRSF6	ENSG00000124193
GDAP1L1	ENSG00000124194
ZNFX1	ENSG00000124201
CSE1L	ENSG00000124207
STAU1	ENSG00000124214
MOCS3	ENSG00000124217
STX16	ENSG00000124222
RNF114	ENSG00000124226
DDX27	ENSG00000124228
MTRR	ENSG00000124275
FASTKD3	ENSG00000124279
PEPD	ENSG00000124299
VAMP7	ENSG00000124333
STAMBP	ENSG00000124356
NAGK	ENSG00000124357
MCEE	ENSG00000124370
SNRNP27	ENSG00000124380
MPHOSPH10	ENSG00000124383
USP22	ENSG00000124422
HIF3A	ENSG00000124440
ZNF576	ENSG00000124444
NDP	ENSG00000124479
USP9X	ENSG00000124486
SIRT5	ENSG00000124523
MRS2	ENSG00000124532
SNRPC	ENSG00000124562
SERPINB6	ENSG00000124570
XPO5	ENSG00000124571
NQO2	ENSG00000124588
OARD1	ENSG00000124596
AARS2	ENSG00000124608
ZNF391	ENSG00000124613
RPS10	ENSG00000124614
MOCS1	ENSG00000124615
MED20	ENSG00000124641
TBCC	ENSG00000124659
MAD2L1BP	ENSG00000124688
KLHDC3	ENSG00000124702
MEA1	ENSG00000124733
CDKN1A	ENSG00000124762
SOX4	ENSG00000124766
GLO1	ENSG00000124767
CPNE5	ENSG00000124772
SSR1	ENSG00000124783
RIOK1	ENSG00000124784
NRN1	ENSG00000124785
SLC35B3	ENSG00000124786
RPP40	ENSG00000124787
DEK	ENSG00000124795
EEF1E1	ENSG00000124802
LRRFIP1	ENSG00000124831
EMC3	ENSG00000125037
CNOT1	ENSG00000125107
BBS2	ENSG00000125124
MT2A	ENSG00000125148
C16orf70	ENSG00000125149
GOT2	ENSG00000125166
DOK4	ENSG00000125170
RAP2A	ENSG00000125249
TM9SF2	ENSG00000125304
IRF1	ENSG00000125347
UPF3B	ENSG00000125351
RNF113A	ENSG00000125352
TMEM255A	ENSG00000125355
NDUFA1	ENSG00000125356
ATP5S	ENSG00000125375
BMP4	ENSG00000125378
FAM193A	ENSG00000125386
SOX9	ENSG00000125398
MRPS7	ENSG00000125445
GGA3	ENSG00000125447
NUP85	ENSG00000125450
SLC25A19	ENSG00000125454
MIF4GD	ENSG00000125457
NT5C	ENSG00000125458
MSTO1	ENSG00000125459
C1orf61	ENSG00000125462
TTF1	ENSG00000125482
CHCHD5	ENSG00000125611
INSIG2	ENSG00000125629
POLR1B	ENSG00000125630
CCDC93	ENSG00000125633
GTF2F1	ENSG00000125651
ALKBH7	ENSG00000125652
CLPP	ENSG00000125656
GRIA3	ENSG00000125675
THOC2	ENSG00000125676
MED1	ENSG00000125686
RPL23	ENSG00000125691
GPR108	ENSG00000125734
FOSB	ENSG00000125740
SNRPD2	ENSG00000125743
SYMPK	ENSG00000125755
GPCPD1	ENSG00000125772
SDCBP2	ENSG00000125775
GZF1	ENSG00000125812
PSMF1	ENSG00000125818
NKX2-2	ENSG00000125820
DTD1	ENSG00000125821
RBCK1	ENSG00000125826
TMX4	ENSG00000125827
SNRPB	ENSG00000125835
NRSN2	ENSG00000125841
AP5S1	ENSG00000125843
RRBP1	ENSG00000125844
BMP2	ENSG00000125845
ZNF133	ENSG00000125846
FLRT3	ENSG00000125848
PCSK2	ENSG00000125851
MKKS	ENSG00000125863
DSTN	ENSG00000125868
LAMP5	ENSG00000125869
SNRPB2	ENSG00000125870
MGME1	ENSG00000125871
TBC1D20	ENSG00000125875
ITPA	ENSG00000125877
FAM110A	ENSG00000125898
MRPS26	ENSG00000125901
NCLN	ENSG00000125912
HNRNPR	ENSG00000125944
MAX	ENSG00000125952
ARMCX5	ENSG00000125962
MMP24	ENSG00000125966
NECAB3	ENSG00000125967
ID1	ENSG00000125968
RALY	ENSG00000125970
DYNLRB1	ENSG00000125971
EIF2S2	ENSG00000125977
ERGIC3	ENSG00000125991
ROMO1	ENSG00000125995
KDM5C	ENSG00000126012
TMEM115	ENSG00000126062
PSMB2	ENSG00000126067
AGO3	ENSG00000126070
UROD	ENSG00000126088
HECTD3	ENSG00000126107
KLC1	ENSG00000126214
TUBGCP3	ENSG00000126216
PCID2	ENSG00000126226
CAPNS1	ENSG00000126247
PDCD2L	ENSG00000126249
RBM42	ENSG00000126254
UBA2	ENSG00000126261
COX6B1	ENSG00000126267
THRA	ENSG00000126351
NR1D1	ENSG00000126368
FRMD8	ENSG00000126391
PRDX5	ENSG00000126432
PRMT1	ENSG00000126457
FLRT1	ENSG00000126500
ASL	ENSG00000126522
SBDS	ENSG00000126524
BECN1	ENSG00000126581
TRAP1	ENSG00000126602
NSRP1	ENSG00000126653
DNAJC8	ENSG00000126698
IFI6	ENSG00000126709
DACH2	ENSG00000126733
ZNF384	ENSG00000126746
EMG1	ENSG00000126749
UXT	ENSG00000126756
ELK1	ENSG00000126767
TIMM17B	ENSG00000126768
PCNXL4	ENSG00000126773
ATG14	ENSG00000126775
KTN1	ENSG00000126777
L3HYPDH	ENSG00000126790
ZBTB1	ENSG00000126804
TRMT5	ENSG00000126814
PLEKHG3	ENSG00000126822
RHOT1	ENSG00000126858
EVI2A	ENSG00000126860
OMG	ENSG00000126861
WDR60	ENSG00000126870
AIF1L	ENSG00000126878
NUP214	ENSG00000126883
MAP2K2	ENSG00000126934
HNRNPH2	ENSG00000126945
ARMCX1	ENSG00000126947
TMEM35	ENSG00000126950
TIMM8A	ENSG00000126953
ZC4H2	ENSG00000126970
CANX	ENSG00000127022
CPSF3L	ENSG00000127054
ZNF484	ENSG00000127081
COX7C	ENSG00000127184
TRAF2	ENSG00000127191
MASP1	ENSG00000127241
ATP13A4	ENSG00000127249
HRASLS	ENSG00000127252
RAP1B	ENSG00000127314
BEST3	ENSG00000127325
RAB3IP	ENSG00000127328
YEATS4	ENSG00000127337
TMEM175	ENSG00000127419
PIN1	ENSG00000127445
FBXL12	ENSG00000127452
EMC1	ENSG00000127463
HP1BP3	ENSG00000127483
SLC35E1	ENSG00000127526
EPS15L1	ENSG00000127527
UQCR11	ENSG00000127540
WDR24	ENSG00000127580
CHTF18	ENSG00000127586
SMARCA4	ENSG00000127616
EMC6	ENSG00000127774
METTL16	ENSG00000127804
AAMP	ENSG00000127837
PNKD	ENSG00000127838
RNF6	ENSG00000127870
ECHS1	ENSG00000127884
AKAP9	ENSG00000127914
